Disease,Category,Symptoms,Vaccine_Available,Vaccine_Name,Reason
Borrelia burgdorferi,Bacteria,malaise; muscle pain; weight loss,No,,Previous vaccine withdrawn due to concerns
Klebsiella pneumoniae,Bacteria,cough; fever; runny nose; sore throat,No,,Antibiotic-resistant hospital pathogen
Pseudomonas aeruginosa,Bacteria,weight loss; night sweats; chills; back pain,No,,Opportunistic pathogen in immunocompromised patients
Swine Flu,Disease,runny nose; chest pain; cough; shortness of breath; fatigue,No,,"Similar to seasonal flu, covered by existing influenza vaccines"
Arthritis,Disorder,weakness; muscle pain; back pain,No,,Autoimmune and degenerative joint condition
Yersinia pestis,Bacteria,weight loss; stiffness; swelling; malaise,No,,Rare disease with limited research
Schizophrenia,Disorder,malaise; night sweats; fever; chills,No,,Severe mental health disorder
Malaria,Disease,night sweats; fatigue; chills; malaise; weight loss; fever,No,,Complex parasite lifecycle and multiple strains
Eating Disorders,Disorder,chills; fatigue; fever; malaise,No,,Mental health and behavioral disorders
MERS,Disease,fatigue; fever; chills; malaise; night sweats,No,,Limited outbreaks and research funding constraints
Treponema pallidum,Bacteria,fever; joint pain; swelling,No,,Complex immune evasion mechanisms
Mycobacterium leprae,Bacteria,stiffness; weight loss; malaise; fatigue; swelling; back pain,No,,Limited global incidence
Swine Flu,Disease,cough; sore throat; fatigue; shortness of breath; fever,No,,"Similar to seasonal flu, covered by existing influenza vaccines"
Pertussis,Disease,fever; night sweats; fatigue,Yes,Tdap Vaccine,
Epilepsy,Disorder,fatigue; fever; weight loss; chills; night sweats,No,,Neurological disorder from various causes
Meningitis,Disease,chills; weight loss; fatigue; fever,Yes,Meningococcal Vaccine,
Coronavirus,Virus,tingling; malaise; memory loss,No,,Vaccine development not prioritized
Pseudomonas aeruginosa,Bacteria,weight loss; back pain; chills,No,,Opportunistic pathogen in immunocompromised patients
Zika Virus,Virus,tingling; fatigue; fever; weight loss,No,,Ongoing research with no approved vaccine yet due to multiple strains
Dengue Virus,Virus,confusion; chills; dizziness; fever,No,,Vaccine development not prioritized
Haemophilus influenzae,Bacteria,weakness; back pain; malaise,Yes,Hib Vaccine,
Clostridium botulinum,Bacteria,weight loss; chills; muscle pain; fatigue,No,,"Toxin-mediated disease, limited cases"
Shigella,Bacteria,swelling; night sweats; weight loss,No,,Multiple serotypes and limited research
COVID-19,Disease,night sweats; fever; chills; fatigue; weight loss; malaise,Yes,COVID-19 Vaccine,
Mycobacterium leprae,Bacteria,swelling; malaise; fatigue; muscle pain; joint pain,No,,Limited global incidence
Sleep Disorders,Disorder,chills; weight loss; malaise; night sweats; fever; fatigue,No,,Various causes including lifestyle and medical conditions
Smallpox,Disease,night sweats; fever; fatigue; malaise; chills,No,,Vaccine development not prioritized
Mycobacterium tuberculosis,Bacteria,runny nose; sore throat; shortness of breath,Yes,BCG Vaccine,
Parainfluenza Virus,Virus,night sweats; tingling; fatigue; seizures; memory loss; confusion,No,,Vaccine development not prioritized
Tularemia,Disease,fatigue; night sweats; weight loss,No,,Vaccine development not prioritized
Coronary Artery Disease,Disorder,malaise; weight loss; chills; night sweats,No,,Cardiovascular disease from multiple risk factors
Haemophilus influenzae,Bacteria,chills; weakness; swelling; joint pain,Yes,Hib Vaccine,
Norovirus,Virus,seizures; malaise; numbness,No,,Rapidly evolving virus with many strains
Tetanus,Disease,fever; chills; weight loss,Yes,Tdap Vaccine,
Hepatitis C,Disease,fatigue; fever; malaise,No,,Complex disease mechanism and multiple virus strains hinder vaccine development
Polio,Disease,night sweats; chills; weight loss; fever,Yes,Polio Vaccine,
Post-Traumatic Stress Disorder,Disorder,fever; fatigue; malaise,No,,Vaccine development not prioritized
Chronic Obstructive Pulmonary Disease,Disorder,malaise; fatigue; fever,No,,Vaccine development not prioritized
Cytomegalovirus,Virus,confusion; malaise; night sweats; headache; numbness,No,,Common virus with complex immune interactions
Obsessive Compulsive Disorder,Disorder,night sweats; chills; weight loss; fever,No,,Vaccine development not prioritized
Marburg,Disease,malaise; weight loss; fatigue; chills; fever; night sweats,No,,Vaccine development not prioritized
Epilepsy,Disorder,fever; weight loss; night sweats,No,,Neurological disorder from various causes
SARS,Disease,night sweats; weight loss; chills; fatigue; fever; malaise,No,,"Disease eradicated in humans, no ongoing need for vaccine"
Shingles,Disease,chills; fever; fatigue; night sweats; malaise; weight loss,No,,Vaccine development not prioritized
MERS,Disease,fever; fatigue; malaise; weight loss; night sweats; chills,No,,Limited outbreaks and research funding constraints
Swine Flu,Disease,sore throat; fatigue; chest pain,No,,"Similar to seasonal flu, covered by existing influenza vaccines"
Smallpox,Disease,night sweats; fever; malaise,No,,Vaccine development not prioritized
Haemophilus influenzae,Bacteria,stiffness; chills; back pain; fever; fatigue,Yes,Hib Vaccine,
Neisseria meningitidis,Bacteria,joint pain; back pain; muscle pain,Yes,Meningococcal Vaccine,
Typhoid,Disease,abdominal pain; loss of appetite; diarrhea,Yes,Typhoid Vaccine,
Bacillus anthracis,Bacteria,joint pain; malaise; night sweats; weakness; weight loss,Yes,Anthrax Vaccine,
Influenza Viruses,Virus,numbness; fatigue; fatigue,No,,Vaccine development not prioritized
Coronavirus,Virus,malaise; fever; seizures; memory loss,No,,Vaccine development not prioritized
Stroke,Disorder,chills; fatigue; night sweats,No,,"Caused by various risk factors, not a single pathogen"
Adenovirus,Virus,weight loss; headache; fatigue,Limited,Military Adenovirus Vaccine,Limited to specific strains and populations
Legionella pneumophila,Bacteria,fever; chills; weakness; fatigue; joint pain,No,,Environmental bacterium with limited human cases
West Nile Virus,Virus,dizziness; confusion; numbness; malaise,No,,Limited human cases and complex transmission cycle
Sleep Disorders,Disorder,fever; malaise; chills; fatigue,No,,Various causes including lifestyle and medical conditions
Hypertension,Disorder,chills; fever; malaise,No,,"Lifestyle and genetic factors, not infectious"
Varicella-Zoster Virus,Virus,night sweats; fatigue; tingling,No,,Vaccine development not prioritized
Pertussis,Disease,chills; night sweats; fatigue; weight loss,Yes,Tdap Vaccine,
Sleep Disorders,Disorder,chills; weight loss; night sweats; fever; fatigue; malaise,No,,Various causes including lifestyle and medical conditions
Bacillus anthracis,Bacteria,malaise; weakness; stiffness; fever,Yes,Anthrax Vaccine,
Adrenal Disorders,Disorder,weight loss; fever; malaise; chills,No,,Endocrine disorders
Marburg,Disease,fatigue; chills; night sweats; malaise,No,,Vaccine development not prioritized
Measles,Disease,fatigue; night sweats; malaise; weight loss; fever,Yes,MMR Vaccine,
Japanese Encephalitis Virus,Virus,weight loss; fatigue; fatigue; seizures; confusion; chills,No,,Vaccine development not prioritized
Zika Virus,Disease,fever; night sweats; fatigue; chills; weight loss,No,,Ongoing research with no approved vaccine yet due to multiple strains
Dengue,Disease,chills; fatigue; night sweats; weight loss; malaise; fever,Limited,Dengvaxia,Vaccine available but restricted to specific populations due to safety concerns
Chikungunya Virus,Virus,fever; confusion; seizures; dizziness; weight loss; fatigue,No,,Vaccine development not prioritized
Treponema pallidum,Bacteria,fever; night sweats; chills; joint pain,No,,Complex immune evasion mechanisms
COVID-19,Disease,weight loss; malaise; night sweats; fever; fatigue; chills,Yes,COVID-19 Vaccine,
Tetanus,Disease,fever; fatigue; weight loss; night sweats; chills,Yes,Tdap Vaccine,
Post-Traumatic Stress Disorder,Disorder,chills; fever; night sweats; fatigue; malaise; weight loss,No,,Vaccine development not prioritized
Neisseria gonorrhoeae,Bacteria,back pain; swelling; weight loss; weakness,No,,Rapid antibiotic resistance and immune evasion
SARS,Disease,fever; weight loss; night sweats; malaise; chills; fatigue,No,,"Disease eradicated in humans, no ongoing need for vaccine"
Herpes Simplex Virus,Virus,itching; redness; dry skin; blisters,No,,Vaccine development not prioritized
Varicella-Zoster Virus,Virus,fatigue; headache; chills,No,,Vaccine development not prioritized
Cytomegalovirus,Virus,fatigue; confusion; chills; malaise; dizziness; numbness,No,,Common virus with complex immune interactions
Adenovirus,Virus,dizziness; confusion; fever; malaise; memory loss; weight loss,Limited,Military Adenovirus Vaccine,Limited to specific strains and populations
Asthma,Disorder,chills; weight loss; night sweats,No,,"Allergic inflammatory condition, not infectious"
Smallpox,Disease,fatigue; fever; chills; night sweats,No,,Vaccine development not prioritized
Alzheimer's Disease,Disorder,fatigue; malaise; night sweats,No,,Neurodegenerative disease with complex causes
Swine Flu,Disease,fatigue; runny nose; sore throat; shortness of breath,No,,"Similar to seasonal flu, covered by existing influenza vaccines"
Treponema pallidum,Bacteria,stiffness; fever; back pain; weight loss; weakness,No,,Complex immune evasion mechanisms
Hypertension,Disorder,fever; malaise; fatigue; chills; night sweats; weight loss,No,,"Lifestyle and genetic factors, not infectious"
Acinetobacter baumannii,Bacteria,fatigue; fever; weakness,No,,Hospital-acquired infection with multiple strains
Diphtheria,Disease,fatigue; chills; fever; weight loss; night sweats,Yes,Tdap Vaccine,
Dengue Virus,Virus,fever; night sweats; weight loss,No,,Vaccine development not prioritized
Coronavirus,Virus,confusion; weight loss; dizziness; memory loss,No,,Vaccine development not prioritized
Encephalitis,Disease,weight loss; fatigue; chills; night sweats; fever; malaise,No,,Vaccine development not prioritized
Encephalitis,Disease,chills; weight loss; fatigue,No,,Vaccine development not prioritized
Multiple Sclerosis,Disorder,malaise; weight loss; fever; fatigue; night sweats; chills,No,,Autoimmune neurological disease
Yersinia pestis,Bacteria,muscle pain; night sweats; weakness; chills; fatigue,No,,Rare disease with limited research
Borrelia burgdorferi,Bacteria,stiffness; chills; back pain; malaise; night sweats,No,,Previous vaccine withdrawn due to concerns
Clostridium botulinum,Bacteria,stiffness; night sweats; fever,No,,"Toxin-mediated disease, limited cases"
Rotavirus,Virus,headache; malaise; fatigue; seizures,Yes,Rotavirus Vaccine,
COVID-19,Disease,fever; weight loss; night sweats; fatigue; malaise; chills,Yes,COVID-19 Vaccine,
Hepatitis Viruses,Virus,seizures; night sweats; fever; chills; confusion,No,,Vaccine development not prioritized
Obsessive Compulsive Disorder,Disorder,malaise; weight loss; fatigue; chills; fever,No,,Vaccine development not prioritized
Tuberculosis,Disease,chills; malaise; weight loss; fever,Yes,BCG Vaccine,
Alzheimer's Disease,Disorder,malaise; fever; chills,No,,Neurodegenerative disease with complex causes
Adrenal Disorders,Disorder,night sweats; chills; fever,No,,Endocrine disorders
Zika Virus,Virus,malaise; numbness; confusion,No,,Ongoing research with no approved vaccine yet due to multiple strains
Eating Disorders,Disorder,night sweats; chills; fatigue; malaise; weight loss; fever,No,,Mental health and behavioral disorders
Anthrax,Disease,chills; fever; weight loss,No,,Vaccine development not prioritized
Mumps,Disease,fever; weight loss; night sweats; chills; fatigue,Yes,MMR Vaccine,
Migraine,Disorder,fever; chills; malaise; fatigue,No,,Neurological headache disorder
Chikungunya Virus,Virus,headache; fatigue; seizures; numbness; malaise,No,,Vaccine development not prioritized
Rotavirus,Virus,fatigue; fatigue; confusion; chills,Yes,Rotavirus Vaccine,
Enterococcus faecalis,Bacteria,joint pain; stiffness; night sweats,No,,Common hospital-acquired infection
Arthritis,Disorder,muscle pain; back pain; stiffness,No,,Autoimmune and degenerative joint condition
Thyroid Disorders,Disorder,chills; fever; fatigue; night sweats; malaise; weight loss,No,,Endocrine disorders from various causes
Typhoid,Disease,abdominal pain; constipation; diarrhea; bloating; loss of appetite,Yes,Typhoid Vaccine,
Acinetobacter baumannii,Bacteria,muscle pain; weakness; night sweats; swelling; stiffness,No,,Hospital-acquired infection with multiple strains
Klebsiella pneumoniae,Bacteria,sore throat; runny nose; fatigue; chest pain; shortness of breath,No,,Antibiotic-resistant hospital pathogen
Arthritis,Disorder,back pain; joint pain; swelling; muscle pain; weakness,No,,Autoimmune and degenerative joint condition
Botulism,Disease,chills; night sweats; weight loss; fever; malaise; fatigue,No,,Vaccine development not prioritized
Mycobacterium leprae,Bacteria,malaise; swelling; weakness,No,,Limited global incidence
Hepatitis B,Disease,weight loss; fatigue; chills; night sweats,Yes,Hepatitis B Vaccine,
Chronic Obstructive Pulmonary Disease,Disorder,malaise; fever; weight loss,No,,Vaccine development not prioritized
Cytomegalovirus,Virus,dizziness; seizures; chills; fatigue; tingling,No,,Common virus with complex immune interactions
Typhoid,Disease,diarrhea; bloating; constipation; abdominal pain; vomiting; nausea,Yes,Typhoid Vaccine,
Herpes Simplex Virus,Virus,redness; dry skin; blisters; hair loss,No,,Vaccine development not prioritized
Respiratory Syncytial Virus,Virus,fever; cough; shortness of breath; chest pain; sore throat,No,,Previous vaccine trials showed safety concerns
Ebola,Disease,night sweats; chills; fever,No,,Rare outbreaks and safety concerns limit widespread vaccine availability
Pertussis,Disease,malaise; fever; chills; fatigue,Yes,Tdap Vaccine,
Anthrax,Disease,night sweats; fatigue; fever; weight loss; malaise,No,,Vaccine development not prioritized
Encephalitis,Disease,fatigue; fever; chills; night sweats,No,,Vaccine development not prioritized
Zika Virus,Virus,fever; night sweats; fatigue; memory loss; weight loss,No,,Ongoing research with no approved vaccine yet due to multiple strains
Tularemia,Disease,weight loss; night sweats; chills; fever,No,,Vaccine development not prioritized
Yersinia pestis,Bacteria,back pain; malaise; night sweats; weakness; weight loss,No,,Rare disease with limited research
